hometeam,awayteam,date,season,round,gf,ga,h_xg,h_xga,h_standard sot,h_kp,h_xa,h_poss_x,h_touches att pen,h_carries prgdist,h_progressive passing dist,h_tackles tklw,h_challenges tkl%,h_saves,a_xg,a_xga,a_standard sot,a_kp,a_xa,a_poss_x,a_touches att pen,a_carries prgdist,a_progressive passing dist,a_tackles tklw,a_challenges tkl%,a_saves,b365h,b365d,b365a,result_A,result_D,result_H,h_strength_overall_home,h_overall_rating,h_attack_rating,h_midfield_rating,h_defence_rating,h_avg_age,a_strength_overall_away,a_overall_rating,a_attack_rating,a_midfield_rating,a_defence_rating,a_avg_age,soh,soa
NEW,BRE,2021-11-20,2021-2022,12,3.0,3.0,0.2142857142857142,0.1285714285714285,0.5,0.6666666666666666,0.2432432432432432,0.546875,0.3789473684210526,0.2270577105014191,0.3368765331152902,0.2222222222222222,0.75,0.0769230769230769,0.1285714285714285,0.2142857142857142,0.1875,0.2333333333333333,0.1081081081081081,0.453125,0.2210526315789473,0.1693472090823084,0.3387844099209594,0.4814814814814814,0.5,0.3846153846153846,0.0869565217391304,0.0588235294117647,0.0559942569992821,False,True,False,0.2535211267605635,0.33333333333333304,0.38888888888888884,0.375,0.39999999999999947,0.6877579092159558,0.11594202898550732,0.08333333333333304,0.16666666666666652,0.25,0.20000000000000018,0.4497936726272349,0.29978164316032874,0.3180227533946136
NOR,SOU,2021-11-20,2021-2022,12,2.0,1.0,0.0714285714285714,0.1428571428571428,0.25,0.2333333333333333,0.081081081081081,0.3125,0.1578947368421052,0.1740775780510879,0.2120468792586536,0.2962962962962963,0.296,0.3076923076923077,0.1428571428571428,0.0714285714285714,0.3125,0.4333333333333333,0.2162162162162162,0.6875,0.3789473684210526,0.5104068117313151,0.4652493867538838,0.2962962962962963,0.5,0.1538461538461538,0.1415830546265328,0.0686274509803921,0.0326633165829145,False,False,True,0.08450704225352101,0.0,0.22222222222222188,0.125,0.13333333333333286,0.48830811554332865,0.23188405797101463,0.25,0.22222222222222188,0.3125,0.33333333333333304,0.4745529573590095,0.39187017510732025,0.2788398373589559
WAT,MUN,2021-11-20,2021-2022,12,4.0,1.0,0.3857142857142857,0.1999999999999999,0.375,0.4333333333333333,0.2162162162162162,0.328125,0.3578947368421052,0.1792809839167455,0.3259743799400381,0.4814814814814814,0.45,0.1538461538461538,0.1999999999999999,0.3857142857142857,0.1875,0.2666666666666666,0.3783783783783784,0.671875,0.1999999999999999,0.4110690633869441,0.4764240937585172,0.2962962962962963,0.636,0.1538461538461538,0.3032329988851727,0.1911764705882353,0.0111270638908829,False,False,True,0.16901408450704203,0.08333333333333304,0.16666666666666652,0.25,0.20000000000000018,0.887207702888583,0.6956521739130435,0.833333333333333,0.6111111111111112,0.75,0.666666666666667,0.5749656121045392,0.40224564039621613,0.22828117468891618
WOL,WHU,2021-11-20,2021-2022,12,1.0,0.0,0.1999999999999999,0.0571428571428571,0.3125,0.4,0.1351351351351351,0.53125,0.2105263157894736,0.4541154210028382,0.5331152902698283,0.4814814814814814,0.5710000000000001,0.2307692307692307,0.0571428571428571,0.1999999999999999,0.1875,0.1666666666666666,0.1081081081081081,0.46875,0.1684210526315789,0.380321665089877,0.4390842191332788,0.2592592592592592,0.3329999999999999,0.3076923076923077,0.1081382385730211,0.0441176470588235,0.0452261306532663,False,False,True,0.563380281690141,0.41666666666666696,0.38888888888888884,0.5625,0.4666666666666668,0.7881705639614855,0.46376811594202927,0.5,0.5000000000000004,0.5,0.39999999999999947,0.8005502063273728,0.3574081625683748,0.26302920370724236
MCI,EVE,2021-11-21,2021-2022,12,3.0,0.0,0.3571428571428571,0.0285714285714285,0.4375,0.3666666666666666,0.5675675675675675,0.921875,0.3578947368421052,0.6646168401135288,0.7176342327609703,0.2592592592592592,0.444,0.0769230769230769,0.0285714285714285,0.3571428571428571,0.0625,0.0666666666666666,0.054054054054054,0.078125,0.1052631578947368,0.0875118259224219,0.1112019623875715,0.2592592592592592,0.467,0.3076923076923077,0.0044593088071348,0.5098039215686275,0.6410624551328069,False,False,True,0.9859154929577465,1.0,0.7222222222222219,1.0,1.0,0.5625859697386519,0.17391304347826075,0.41666666666666696,0.38888888888888884,0.4375,0.39999999999999947,0.5130674002751032,0.3000357566857973,0.3056421459719534
TOT,LEE,2021-11-21,2021-2022,12,2.0,1.0,0.3,0.1999999999999999,0.25,0.2333333333333333,0.1621621621621621,0.390625,0.231578947368421,0.3571428571428571,0.4161896974652493,0.4444444444444444,0.4579999999999999,0.4615384615384615,0.1999999999999999,0.3,0.4375,0.4,0.2702702702702703,0.609375,0.2526315789473684,0.4867549668874172,0.404197328972472,0.4814814814814814,0.5710000000000001,0.1538461538461538,0.0356744704570791,0.1372549019607843,0.1206030150753769,False,False,True,0.591549295774648,0.666666666666667,0.6666666666666665,0.625,0.4666666666666668,0.4745529573590095,0.14492753623188426,0.25,0.3333333333333335,0.375,0.2666666666666666,0.5502063273727646,0.3427388817799598,0.3709324290536913
ARS,NEW,2021-11-27,2021-2022,13,2.0,0.0,0.3571428571428571,0.0428571428571428,0.375,0.6333333333333333,0.3783783783783784,0.75,0.3368421052631579,0.7521286660359509,0.5290269828291088,0.2962962962962963,0.438,0.3846153846153846,0.0428571428571428,0.3571428571428571,0.3125,0.1666666666666666,0.1351351351351351,0.25,0.1368421052631579,0.3098391674550615,0.2360316162442082,0.3333333333333333,0.25,0.3076923076923077,0.0211817168338907,0.1911764705882353,0.2103374012921751,False,False,True,0.704225352112676,0.583333333333333,0.3333333333333335,0.5625,0.39999999999999947,0.11279229711141658,0.4057971014492754,0.33333333333333304,0.38888888888888884,0.375,0.39999999999999947,0.6877579092159558,0.18680156445544382,0.2839810740127028
BHA,LEE,2021-11-27,2021-2022,13,0.0,0.0,0.3,0.0857142857142857,0.25,0.5,0.2702702702702703,0.609375,0.3684210526315789,0.5473036896877956,0.5189424911420005,0.2962962962962963,0.417,0.3076923076923077,0.0857142857142857,0.3,0.25,0.2666666666666666,0.054054054054054,0.390625,0.1999999999999999,0.2909176915799432,0.2695557372581084,0.5185185185185185,0.484,0.3076923076923077,0.0551839464882942,0.0588235294117647,0.0936826992103374,False,True,False,0.2816901408450705,0.25,0.22222222222222188,0.125,0.39999999999999947,0.38789546079779935,0.14492753623188426,0.25,0.3333333333333335,0.375,0.2666666666666666,0.5502063273727646,0.2303915758855305,0.302560065862588
CRY,AVL,2021-11-27,2021-2022,13,1.0,2.0,0.1428571428571428,0.0714285714285714,0.1875,0.2333333333333333,0.2972972972972973,0.71875,0.2842105263157894,0.4271523178807946,0.6568547288089398,0.5555555555555556,0.111,0.0769230769230769,0.0714285714285714,0.1428571428571428,0.1875,0.2333333333333333,0.081081081081081,0.28125,0.1684210526315789,0.2209082308420056,0.3366039792859089,0.6666666666666666,0.6,0.1538461538461538,0.0635451505016722,0.0588235294117647,0.0775305096913137,True,False,False,0.2535211267605635,0.25,0.3333333333333335,0.3125,0.2666666666666666,0.6121045392022006,0.2028985507246377,0.41666666666666696,0.4444444444444442,0.4375,0.5333333333333332,0.4745529573590095,0.24626513381638349,0.2766285732212681
LIV,SOU,2021-11-27,2021-2022,13,4.0,0.0,0.4142857142857142,0.1428571428571428,0.375,0.5333333333333333,0.3513513513513513,0.71875,0.4210526315789473,0.3240302743614002,0.811937857726901,0.3703703703703703,0.611,0.2307692307692307,0.1428571428571428,0.4142857142857142,0.1875,0.1333333333333333,0.081081081081081,0.28125,0.1894736842105263,0.1579943235572374,0.282638321068411,0.2222222222222222,0.5,0.1538461538461538,0.0122630992196209,0.3137254901960785,0.2821249102656138,False,False,True,0.9577464788732395,1.0,0.8333333333333335,0.8125,0.9333333333333336,0.7881705639614855,0.23188405797101463,0.25,0.22222222222222188,0.3125,0.33333333333333304,0.4745529573590095,0.28489139408889763,0.3588265659714398
NOR,WOL,2021-11-27,2021-2022,13,0.0,0.0,0.2285714285714285,0.0428571428571428,0.25,0.3666666666666666,0.2702702702702703,0.390625,0.2421052631578947,0.456480605487228,0.4044698828018533,0.6296296296296295,0.55,0.1538461538461538,0.0428571428571428,0.2285714285714285,0.125,0.1,0.081081081081081,0.609375,0.1684210526315789,0.4068117313150425,0.5014990460615971,0.2592592592592592,0.542,0.3076923076923077,0.1360089186176142,0.0490196078431372,0.0362526920315865,False,True,False,0.08450704225352101,0.0,0.22222222222222188,0.125,0.13333333333333286,0.48830811554332865,0.4057971014492754,0.41666666666666696,0.38888888888888884,0.5625,0.4666666666666668,0.7881705639614855,0.4038305856262142,0.35541270117417567
BRE,EVE,2021-11-28,2021-2022,13,1.0,0.0,0.1714285714285714,0.1428571428571428,0.1875,0.1,0.081081081081081,0.34375,0.1157894736842105,0.1504257332071901,0.3695829926410465,0.4074074074074074,0.4579999999999999,0.3846153846153846,0.1428571428571428,0.1714285714285714,0.3125,0.3333333333333333,0.2432432432432432,0.65625,0.2526315789473684,0.4843897824030274,0.4974107386208776,0.5185185185185185,0.407,0.2307692307692307,0.0663322185061315,0.0392156862745098,0.0811198851399856,False,False,True,0.16901408450704203,0.08333333333333304,0.16666666666666652,0.25,0.20000000000000018,0.4497936726272349,0.17391304347826075,0.41666666666666696,0.38888888888888884,0.4375,0.39999999999999947,0.5130674002751032,0.297553881107011,0.2639161811107087
CHE,MUN,2021-11-28,2021-2022,13,1.0,1.0,0.3857142857142857,0.1285714285714285,0.3125,0.4333333333333333,0.2432432432432432,0.734375,0.4631578947368421,0.5406811731315042,0.5219405832651949,0.4074074074074074,0.526,0.0769230769230769,0.1285714285714285,0.3857142857142857,0.125,0.0333333333333333,0.054054054054054,0.265625,0.0736842105263157,0.1693472090823084,0.1477241755246661,0.5555555555555556,0.579,0.3846153846153846,0.0284280936454849,0.1176470588235294,0.1744436468054558,False,True,False,0.816901408450704,0.916666666666667,0.7222222222222219,0.875,0.7999999999999998,0.7372764786795045,0.6956521739130435,0.833333333333333,0.6111111111111112,0.75,0.666666666666667,0.5749656121045392,0.46257399926477827,0.37240026732909515
LEI,WAT,2021-11-28,2021-2022,13,4.0,2.0,0.3,0.3999999999999999,0.5,0.5333333333333333,0.1891891891891892,0.59375,0.2526315789473684,0.2317880794701987,0.3496865630962115,0.5185185185185185,0.4,0.2307692307692307,0.3999999999999999,0.3,0.25,0.4,0.2162162162162162,0.40625,0.2736842105263158,0.151371807000946,0.240392477514309,0.3333333333333333,0.231,0.3076923076923077,0.0306577480490524,0.1176470588235294,0.1564967695620962,False,False,True,0.2535211267605635,0.583333333333333,0.5000000000000004,0.5625,0.4666666666666668,0.2874828060522696,0.0,0.08333333333333304,0.16666666666666652,0.25,0.20000000000000018,0.887207702888583,0.36271541896590864,0.4004555622419519
MCI,WHU,2021-11-28,2021-2022,13,2.0,1.0,0.3,0.0285714285714285,0.5,0.5,0.2162162162162162,0.78125,0.2947368421052631,0.7010406811731315,0.6617606977378032,0.2962962962962963,0.353,0.1538461538461538,0.0285714285714285,0.3,0.1875,0.1,0.1081081081081081,0.21875,0.1263157894736842,0.1759697256385998,0.2747342600163531,0.4814814814814814,0.6,0.4615384615384615,0.0122630992196209,0.2892156862745099,0.3180186647523331,False,False,True,0.9859154929577465,1.0,0.7222222222222219,1.0,1.0,0.5625859697386519,0.46376811594202927,0.5,0.5000000000000004,0.5,0.39999999999999947,0.8005502063273728,0.3337504946676336,0.3250814963964761
LEE,CRY,2021-11-30,2021-2022,14,1.0,0.0,0.1999999999999999,0.1571428571428571,0.125,0.2666666666666666,0.1351351351351351,0.671875,0.1789473684210526,0.4701986754966887,0.5121286454074679,0.3333333333333333,0.308,0.0769230769230769,0.1571428571428571,0.1999999999999999,0.0625,0.1666666666666666,0.2432432432432432,0.328125,0.1999999999999999,0.2175969725638599,0.3118015808122104,0.3333333333333333,0.778,0.1538461538461538,0.0746934225195094,0.0490196078431372,0.0667623833452979,False,False,True,0.19718309859154903,0.25,0.3333333333333335,0.375,0.2666666666666666,0.5502063273727646,0.2028985507246377,0.25,0.3333333333333335,0.3125,0.2666666666666666,0.6121045392022006,0.22445556428268687,0.21020508856939957
