hometeam,awayteam,date,season,round,gf,ga,h_form_gf,h_form_ga,h_form_xg,h_form_xga,h_form_standard sot,h_form_kp,h_form_xa,h_form_poss_x,h_form_touches att pen,h_form_carries prgdist,h_form_progressive passing dist,h_form_tackles tklw,h_form_challenges tkl%,h_form_saves,a_form_gf,a_form_ga,a_form_xg,a_form_xga,a_form_standard sot,a_form_kp,a_form_xa,a_form_poss_x,a_form_touches att pen,a_form_carries prgdist,a_form_progressive passing dist,a_form_tackles tklw,a_form_challenges tkl%,a_form_saves,b365h,b365d,b365a,result_A,result_D,result_H
NFO,CHE,2024-05-11,2023-2024,37,2.0,3.0,-0.19544588491477582,-0.04193202621807922,0.043429163849909004,-0.10113640896554218,0.046051954870360776,0.04403340879248272,-0.24790203229982327,-0.7199244773276807,-0.11373715223230918,-0.408676200850174,-0.4210039740814112,0.14197797993049943,0.6002913415077952,-0.701367679135856,-0.04193202621807921,0.7256372672654037,-0.07704214682963342,0.7662570279271639,-0.11525435191879496,0.08752982479481308,0.08645612042278764,0.641580465101884,-0.25726524307269194,0.2965014842630336,0.6669086771257433,-0.13118630449635219,0.8209987268538519,0.3036881724343222,3.4,3.8,2.0,True,False,False
NFO,BOU,2024-08-17,2024-2025,1,1.0,1.0,0.11158183247861739,0.265095691175314,0.1639004745294515,-0.1975134575091762,0.2073582616595166,0.348508320808795,0.012154308706651901,-0.6886255131338975,0.2630240862236951,-0.1106449852018668,-0.36397928099567206,0.5790408350134617,0.40085695715894853,-0.5003565088218204,-0.5024736023081691,0.4186095498720105,-0.05294788469372491,0.42893735802444477,-0.2765606587079507,0.21801907280180402,-0.35935474987402694,-0.6260275847463314,0.17331902944845584,-0.0009868694259868916,-0.7083491807991622,0.6883065487842022,-0.29982251318666586,0.8062160982194115,2.45,3.5,2.8,False,True,False
NFO,WOL,2024-08-31,2024-2025,3,1.0,1.0,0.11158183247861739,0.265095691175314,0.26027752307308555,-0.1975134575091762,0.44931772184325036,0.47899756881578603,-0.13644931472561958,-0.782522405715247,0.370670154353982,-0.2925037415628557,-0.35879521798787756,0.6883065487842023,0.6228939050673311,-0.3998509236648025,-0.5024736023081692,0.7256372672654039,-0.9203413215864309,1.344519319188968,-0.8411327324699963,-1.0868734072681059,-1.1023728670353847,-0.3912853532929582,-0.9749056972746049,-0.34896138532865517,-0.8905319665016537,0.25124369370123995,0.33039014135568945,1.9117775349466075,2.0,3.7,3.7,False,True,False
NFO,FUL,2024-09-28,2024-2025,6,0.0,1.0,-0.19544588491477582,0.26509569117531395,0.13980621239354302,-0.3902675545964442,0.5299708752378283,0.6094868168227771,0.16075793213892345,-0.500831727971199,0.6577263360347472,-0.3028181187892998,-0.4006380122650759,0.9614708332110539,0.6228939050673311,-0.5003565088218204,-0.04193202621807921,-0.5024736023081691,-0.028853622557816417,-0.17341919537326772,0.44931772184325036,0.39200473681112546,-0.09929840886755185,-0.09394519345201877,-0.006091084102022426,-0.3153039438528902,-0.06145217546938029,0.469775121242721,-0.08044469040293464,0.20318258727730446,2.38,3.3,3.0,True,False,False
NFO,CRY,2024-10-21,2024-2025,8,1.0,0.0,-0.5024736023081691,0.11158183247861739,-0.1252306711014505,-0.31798476818871874,-0.11525435191879504,0.348508320808795,0.23505974385505918,-0.5790791384556567,0.568021279259508,-0.09490198838255731,-0.7246419502522304,0.6336736918988322,0.5072219621450001,-0.5003565088218204,-0.04193202621807932,-0.04193202621807911,-0.19751345750917598,0.13980621239354282,-0.11525435191879503,0.04403340879248276,0.12360702628085551,-0.21914105022715108,-0.02403209545707017,-0.504219905684604,-0.34990825283165855,1.2892679745232754,1.0177739860780475,0.20318258727730446,2.3,3.5,3.0,False,False,True
NFO,WHU,2024-11-02,2024-2025,10,3.0,0.0,-0.3489597436114724,-0.19544588491477582,-0.1734191953732675,-0.2938905060528102,0.2073582616595166,0.47899756881578603,0.27221064971312703,-0.31303794280850045,0.6936083587448427,-0.05093016968034807,-0.47765837695230806,0.0873451230451292,-0.024603062785257458,-0.09833416819374907,-0.19544588491477585,0.26509569117531395,-0.6312101759555293,-0.0047593604219080985,-0.5991732722862626,-0.30393791922616004,-0.5451092791643665,-0.7355739594245722,-0.43667535662317014,-0.9021377218416333,-0.709089761228847,0.7975722625549426,1.0270809240143273,0.6052049279053756,2.15,3.5,3.4,False,False,True
NOR,LIV,2021-08-14,2021-2022,1,0.0,3.0,,,,,,,,,,,,,,,0.8791511259621005,-0.5024736023081691,0.9590111250144323,-0.2216077196450848,0.7719303354215621,1.2619330568577318,1.0523796727325525,0.5476835725205347,1.1600746539760858,0.7215623983843897,0.6591325826140516,-0.40435058892320336,-0.4154944561089969,-0.3998509236648024,9.0,5.75,1.3,True,False,False
NOR,LEI,2021-08-28,2021-2022,3,1.0,2.0,-1.1165290370949554,1.1861788433554936,-0.004759360421908002,0.236183260937177,-0.5185201188916846,0.3050119048064647,-0.17360022058368751,-4.83008706694568e-05,-0.8493186177892699,-0.01347269448957722,0.457694705739752,0.9068379763256834,1.2344926837371275,0.0021714169632688464,-0.04193202621807923,0.5721234085687072,-0.4625503410041695,0.06752342598581729,-0.11525435191879499,-0.08645583921450828,-0.024996597151415934,0.3129413410671614,-0.05991411816716585,0.1591574085635406,-0.12736383371133858,-0.021920590725611366,-0.617587965582495,-0.5003565088218204,4.5,3.5,1.85,True,False,False
NOR,WAT,2021-09-18,2021-2022,5,1.0,3.0,-0.7327443903532139,0.8023941966137521,0.055476294917863316,0.1759476055974057,-0.5185201188916846,-0.021211215211012824,-0.5451092791643664,-0.19566682708181382,-0.9838762029521286,-0.09354483348434098,-0.13199246139686938,1.180002260752535,0.373600924631273,-0.5003565088218203,-1.1165290370949554,0.034824903130269064,-0.9082941905184768,-0.3059376371207645,-1.123418769351019,-0.12995225521683865,-0.17360022058368763,-0.5086564690196448,-0.535350919075933,-0.4640481206974004,-0.1606899530471602,-0.32240130359514796,-1.4844627562188146,0.5046993427483579,2.15,3.3,3.5,True,False,False
NOR,BHA,2021-10-16,2021-2022,8,0.0,0.0,-0.6048161747726334,0.9303224121943326,-0.12523067110145045,0.5172829858561094,-0.24967627424309155,-0.0574582285462881,-0.29743657344391383,-0.15654312183958494,-0.5802034474635526,-0.11661646675401867,-0.036025580716864535,0.9068379763256834,0.06447762889056075,0.002171416963268872,-0.3489597436114725,-0.19544588491477585,-1.064906894401882,-0.4384560788682613,-0.43786696549710663,-0.9998805752634453,-0.5079583733062984,0.15644652009824603,-0.6160854701736482,9.885449258609791e-05,-0.023312283340606622,0.6883065487842023,-0.3357207023694583,-0.29934533850778466,3.6,3.4,2.1,False,True,False
